模型,short_multiplier,long_leverage,short_leverage,累计收益,年化收益,Sharpe,最大回撤,胜率
XGBoost,1.5,2.0,2.0,-0.1844,-0.1322,-0.5063,-0.3585,0.3754
XGBoost,1.5,1.5,1.5,-0.135,-0.0991,-0.5063,-0.2802,0.3754
XGBoost,1.5,2.5,2.5,-0.235,-0.1652,-0.5063,-0.4299,0.3754
XGBoost,1.5,3.0,3.0,-0.2862,-0.1983,-0.5063,-0.4948,0.3754
XGBoost,1.5,1.0,1.0,-0.0874,-0.0661,-0.5063,-0.1946,0.3754
XGBoost,2.0,3.0,1.5,-0.136,-0.1002,-0.5136,-0.2871,0.2783
XGBoost,2.0,2.0,1.0,-0.0882,-0.0668,-0.5136,-0.2,0.2783
Logistic,1.5,2.5,2.0,-0.1966,-0.1426,-0.531,-0.2266,0.3754
Logistic,2.0,1.0,2.0,-0.1861,-0.1354,-0.5311,-0.2486,0.3495
Logistic,2.0,1.5,3.0,-0.2874,-0.2031,-0.5311,-0.3567,0.3495
Logistic,1.5,3.0,2.5,-0.2548,-0.1838,-0.5494,-0.2848,0.3754
XGBoost,1.0,2.0,1.5,-0.1739,-0.129,-0.554,-0.326,0.4466
Ridge,1.0,3.0,1.0,-0.1129,-0.0858,-0.5552,-0.1574,0.3236
Logistic,2.0,1.0,2.5,-0.2468,-0.1805,-0.5679,-0.3096,0.3495
Logistic,1.0,2.5,1.5,-0.1616,-0.1211,-0.5683,-0.1982,0.4304
XGBoost,1.5,2.5,3.0,-0.307,-0.2233,-0.5739,-0.4948,0.3754
XGBoost,1.0,2.5,2.0,-0.2435,-0.1804,-0.5827,-0.4171,0.4466
XGBoost,1.5,2.0,2.5,-0.2574,-0.1902,-0.5875,-0.4299,0.3754
Logistic,2.0,1.0,3.0,-0.3064,-0.2256,-0.5923,-0.3669,0.3495
XGBoost,1.0,3.0,2.5,-0.3121,-0.2317,-0.6,-0.4984,0.4466
XGBoost,1.5,1.5,2.0,-0.2084,-0.1572,-0.6078,-0.3585,0.3754
Logistic,1.5,3.0,3.0,-0.3301,-0.2477,-0.6235,-0.3618,0.3754
Logistic,1.5,2.0,2.0,-0.2177,-0.1651,-0.6235,-0.2434,0.3754
Logistic,1.5,2.5,2.5,-0.2741,-0.2064,-0.6235,-0.3033,0.3754
Logistic,1.5,1.0,1.0,-0.1059,-0.0826,-0.6235,-0.1233,0.3754
Logistic,1.5,1.5,1.5,-0.1614,-0.1238,-0.6235,-0.1825,0.3754
Logistic,1.0,3.0,2.0,-0.2326,-0.1765,-0.6283,-0.2702,0.4304
Logistic,1.0,1.5,1.0,-0.1133,-0.0882,-0.6283,-0.1369,0.4304
XGBoost,1.5,2.0,3.0,-0.3273,-0.2483,-0.6418,-0.4948,0.3754
XGBoost,1.5,1.0,1.5,-0.1607,-0.1242,-0.6418,-0.2802,0.3754
XGBoost,2.0,2.5,1.5,-0.1611,-0.1253,-0.6593,-0.2871,0.2783
XGBoost,1.5,1.5,2.5,-0.2793,-0.2153,-0.6689,-0.4299,0.3754
